Lfd. Nr.,Stadt,Postleitzahl,Fläche km,Bevölkerung gesamt,Bevölkerung männlich,Bevölkerung weiblich,Bevölkerung je km2
83,"Witten, Stadt",58452,"72,4",96.781,47.105,49.676,1.337
84,"Schwerin, Landeshauptstadt",19053,"130,52",95.668,46.111,49.557,"733,00"
85,"Hanau, Brüder-Grimm-Stadt",63450,"76,49",95.370,47.187,48.183,1.247
86,"Gera, Stadt",7545,"152,19",94.750,45.757,48.993,"623,00"
87,"Iserlohn, Stadt",58636,"125,49",93.197,45.618,47.579,"743,00"
88,"Ludwigsburg, Stadt",71638,"43,34",93.035,45.728,47.307,2.147
89,"Esslingen am Neckar, Stadt",73728,"46,43",92.186,45.838,46.348,1.986
90,"Zwickau, Stadt",8056,"102,58",90.515,44.112,46.403,"882,00"
91,"Düren, Stadt",52349,85,90.066,44.430,45.636,1.060
92,"Tübingen, Universitätsstadt",72070,"108,07",88.347,41.944,46.403,"818,00"
93,"Flensburg, Stadt",24937,"56,74",87.432,43.617,43.815,1.541
94,"Ratingen, Stadt",40878,"88,74",87.158,41.726,45.432,"982,00"
95,"Gießen, Universitätsstadt",35390,"72,55",86.543,42.316,44.227,1.193
96,"Lünen, Stadt",44532,"59,39",86.274,42.045,44.229,1.453
97,"Villingen-Schwenningen, Stadt",78050,"165,5",84.070,41.274,42.796,"508,00"
98,"Konstanz, Universitätsstadt",78462,"54,11",83.789,40.262,43.527,1.548
99,"Marl, Stadt",45768,"87,76",83.737,41.190,42.547,"954,00"
100,"Worms, Stadt",67547,"108,73",82.595,40.542,42.053,"760,00"
101,"Dessau-Roßlau, Stadt",6844,"244,75",82.505,40.105,42.400,"337,00"
102,"Velbert, Stadt",42551,"74,9",81.822,39.905,41.917,1.092
103,"Minden, Stadt",32423,"101,12",81.637,40.087,41.550,"807,00"
104,"Neumünster, Stadt",24534,"71,63",79.680,39.438,40.242,1.112
105,"Norderstedt, Stadt",22846,"58,1",77.996,37.819,40.177,1.342
106,"Delmenhorst, Stadt",27749,"62,45",77.045,38.169,38.876,1.234
107,"Viersen, Stadt",41747,"91,1",76.384,36.918,39.466,"838,00"
108,"Wilhelmshaven, Stadt",26382,"107,07",76.201,37.511,38.690,"712,00"
